'Trial'	'Answer'	'Accuracy'	'reactionTime'	'Time'	'EventName'
NaN	NaN	NaN	NaN	0.000102400000000000	'TrainingStart'
NaN	NaN	NaN	NaN	0.000270300000000000	'InstructionsTrainingStart'
NaN	NaN	NaN	NaN	48.8311744000000	'InstructionsTrainingEnd'
1	NaN	NaN	NaN	48.8475780000000	'FixationCrossStart'
1	NaN	NaN	NaN	49.6482885000000	'FixationCrossEnd'
1	'right'	1	3.87947880000000	54.5718761000000	'1.L3a.jpg_Answer'
2	NaN	NaN	NaN	54.6043857000000	'FixationCrossStart'
2	NaN	NaN	NaN	55.4051654000000	'FixationCrossEnd'
2	'right'	1	3.12093590000000	59.5774512000000	'2.L7f.jpg_Answer'
3	NaN	NaN	NaN	59.5937025000000	'FixationCrossStart'
3	NaN	NaN	NaN	60.3946327000000	'FixationCrossEnd'
3	'left'	1	2.35616020000000	63.7989706000000	'3.Ru.jpg_Answer'
4	NaN	NaN	NaN	63.8153463000000	'FixationCrossStart'
4	NaN	NaN	NaN	64.6162398000000	'FixationCrossEnd'
4	'right'	1	1.51822000000000	67.1862006000000	'4.L5j.jpg_Answer'
5	NaN	NaN	NaN	67.2034621000000	'FixationCrossStart'
5	NaN	NaN	NaN	68.0069309000000	'FixationCrossEnd'
5	'left'	1	1.78773910000000	70.8429097000000	'5.Rp.jpg_Answer'
6	NaN	NaN	NaN	70.8566379000000	'FixationCrossStart'
6	NaN	NaN	NaN	71.6573444000000	'FixationCrossEnd'
6	'left'	0	1.29312840000000	73.9937566000000	'6.L7g.jpg_Answer'
7	NaN	NaN	NaN	74.0102933000000	'FixationCrossStart'
7	NaN	NaN	NaN	74.8109604000000	'FixationCrossEnd'
7	'left'	1	1.17917930000000	77.0306192000000	'7.Rq.jpg_Answer'
8	NaN	NaN	NaN	77.0470998000000	'FixationCrossStart'
8	NaN	NaN	NaN	77.8477787000000	'FixationCrossEnd'
8	'left'	1	2.51855900000000	81.4189921000000	'8.Rr.jpg_Answer'
9	NaN	NaN	NaN	81.4355658000000	'FixationCrossStart'
9	NaN	NaN	NaN	82.2362698000000	'FixationCrossEnd'
9	'right'	1	1.76185850000000	85.0398646000000	'9.L5i.jpg_Answer'
10	NaN	NaN	NaN	85.0563306000000	'FixationCrossStart'
10	NaN	NaN	NaN	85.8570011000000	'FixationCrossEnd'
10	'left'	1	0.877139100000000	87.7763325000000	'10.Rz.jpg_Answer'
11	NaN	NaN	NaN	87.7928418000000	'FixationCrossStart'
11	NaN	NaN	NaN	88.5935155000000	'FixationCrossEnd'
11	'right'	1	0.780906800000000	90.4293695000000	'11.L7h.jpg_Answer'
12	NaN	NaN	NaN	90.4459407000000	'FixationCrossStart'
12	NaN	NaN	NaN	91.2467701000000	'FixationCrossEnd'
12	'left'	1	0.727494500000000	93.0157161000000	'12.Rw.jpg_Answer'
13	NaN	NaN	NaN	93.0322008000000	'FixationCrossStart'
13	NaN	NaN	NaN	93.8329837000000	'FixationCrossEnd'
13	'right'	1	0.829185900000000	95.7021580000000	'13.L3a.jpg_Answer'
14	NaN	NaN	NaN	95.7186349000000	'FixationCrossStart'
14	NaN	NaN	NaN	96.5193408000000	'FixationCrossEnd'
14	'left'	1	1.54268210000000	99.1060421000000	'14.Ry.jpg_Answer'
15	NaN	NaN	NaN	99.1225330000000	'FixationCrossStart'
15	NaN	NaN	NaN	99.9232094000000	'FixationCrossEnd'
15	'right'	1	0.954752100000000	101.925986300000	'15.L3c.jpg_Answer'
16	NaN	NaN	NaN	101.942602200000	'FixationCrossStart'
16	NaN	NaN	NaN	102.743411600000	'FixationCrossEnd'
16	'left'	1	0.806954000000000	104.595711400000	'16.Rs.jpg_Answer'
17	NaN	NaN	NaN	104.612224900000	'FixationCrossStart'
17	NaN	NaN	NaN	105.412910300000	'FixationCrossEnd'
17	'right'	1	0.785120000000000	107.248735500000	'17.L7k.jpg_Answer'
18	NaN	NaN	NaN	107.265289500000	'FixationCrossStart'
18	NaN	NaN	NaN	108.065986700000	'FixationCrossEnd'
18	'right'	0	1.63577810000000	110.752446600000	'18.Rt.jpg_Answer'
19	NaN	NaN	NaN	110.769126500000	'FixationCrossStart'
19	NaN	NaN	NaN	111.569732800000	'FixationCrossEnd'
19	'left'	1	1.74788630000000	114.356956600000	'19.Rv.jpg_Answer'
20	NaN	NaN	NaN	114.373457200000	'FixationCrossStart'
