'Trial'	'Answer'	'Accuracy'	'reactionTime'	'Time'	'EventName'
NaN	NaN	NaN	NaN	0.000324500000000000	'TrainingStart'
NaN	NaN	NaN	NaN	0.000721800000000000	'InstructionsTrainingStart'
NaN	NaN	NaN	NaN	52.5986066000000	'InstructionsTrainingEnd'
1	NaN	NaN	NaN	52.6103012000000	'FixationCrossStart'
1	NaN	NaN	NaN	53.4111583000000	'FixationCrossEnd'
1	'NoPress'	-1	0	63.4298898000000	'1.L3a.jpg_Answer'
2	NaN	NaN	NaN	63.4424232000000	'FixationCrossStart'
2	NaN	NaN	NaN	64.2432148000000	'FixationCrossEnd'
2	'right'	1	2.54339710000000	67.8059521000000	'2.L7f.jpg_Answer'
3	NaN	NaN	NaN	67.8264849000000	'FixationCrossStart'
3	NaN	NaN	NaN	68.6273936000000	'FixationCrossEnd'
3	'NoPress'	-1	0	78.6393338000000	'3.Ru.jpg_Answer'
4	NaN	NaN	NaN	78.6610694000000	'FixationCrossStart'
4	NaN	NaN	NaN	79.4617678000000	'FixationCrossEnd'
4	'right'	1	5.40245600000000	85.8821613000000	'4.L5j.jpg_Answer'
5	NaN	NaN	NaN	85.9005649000000	'FixationCrossStart'
5	NaN	NaN	NaN	86.7044485000000	'FixationCrossEnd'
5	'left'	1	1.01910240000000	88.7493257000000	'5.Rp.jpg_Answer'
6	NaN	NaN	NaN	88.7662303000000	'FixationCrossStart'
6	NaN	NaN	NaN	89.5679298000000	'FixationCrossEnd'
6	'left'	0	1.38506320000000	91.9690135000000	'6.L7g.jpg_Answer'
7	NaN	NaN	NaN	91.9839774000000	'FixationCrossStart'
7	NaN	NaN	NaN	92.7847668000000	'FixationCrossEnd'
7	'left'	1	1.31389910000000	95.1142851000000	'7.Rq.jpg_Answer'
8	NaN	NaN	NaN	95.1350833000000	'FixationCrossStart'
8	NaN	NaN	NaN	95.9358899000000	'FixationCrossEnd'
8	'left'	1	3.04898470000000	100.000832800000	'8.Rr.jpg_Answer'
9	NaN	NaN	NaN	100.019679500000	'FixationCrossStart'
9	NaN	NaN	NaN	100.820354100000	'FixationCrossEnd'
9	'right'	1	0.805293800000000	102.641733900000	'9.L5i.jpg_Answer'
10	NaN	NaN	NaN	102.654229100000	'FixationCrossStart'
10	NaN	NaN	NaN	103.454930700000	'FixationCrossEnd'
10	'right'	0	1.39318150000000	105.865120500000	'10.Rz.jpg_Answer'
11	NaN	NaN	NaN	105.887941200000	'FixationCrossStart'
11	NaN	NaN	NaN	106.688615800000	'FixationCrossEnd'
11	'right'	1	0.713562000000000	108.418814300000	'11.L7h.jpg_Answer'
12	NaN	NaN	NaN	108.438422200000	'FixationCrossStart'
12	NaN	NaN	NaN	109.239034000000	'FixationCrossEnd'
12	'left'	1	0.986951600000000	111.242607500000	'12.Rw.jpg_Answer'
13	NaN	NaN	NaN	111.256521300000	'FixationCrossStart'
13	NaN	NaN	NaN	112.057136900000	'FixationCrossEnd'
13	'right'	1	0.744142300000000	113.818495900000	'13.L3a.jpg_Answer'
14	NaN	NaN	NaN	113.839519800000	'FixationCrossStart'
14	NaN	NaN	NaN	114.640315700000	'FixationCrossEnd'
14	'right'	0	1.00128060000000	116.658712700000	'14.Ry.jpg_Answer'
15	NaN	NaN	NaN	116.674958300000	'FixationCrossStart'
15	NaN	NaN	NaN	117.475652700000	'FixationCrossEnd'
15	'right'	1	0.829762500000000	119.320832800000	'15.L3c.jpg_Answer'
16	NaN	NaN	NaN	119.342468700000	'FixationCrossStart'
16	NaN	NaN	NaN	120.143116100000	'FixationCrossEnd'
16	'left'	1	1.28990170000000	122.450285500000	'16.Rs.jpg_Answer'
17	NaN	NaN	NaN	122.462683100000	'FixationCrossStart'
17	NaN	NaN	NaN	123.263476800000	'FixationCrossEnd'
17	'right'	1	2.09815450000000	126.376790300000	'17.L7k.jpg_Answer'
18	NaN	NaN	NaN	126.394592600000	'FixationCrossStart'
18	NaN	NaN	NaN	127.195274200000	'FixationCrossEnd'
18	'left'	1	1.10167140000000	129.312825700000	'18.Rt.jpg_Answer'
19	NaN	NaN	NaN	129.328750800000	'FixationCrossStart'
19	NaN	NaN	NaN	130.129416700000	'FixationCrossEnd'
19	'left'	1	1.25591050000000	132.400459200000	'19.Rv.jpg_Answer'
20	NaN	NaN	NaN	132.413444700000	'FixationCrossStart'
20	NaN	NaN	NaN	133.214141500000	'FixationCrossEnd'
20	'right'	1	0.971404400000000	135.201056900000	'20.L3d.jpg_Answer'
21	NaN	NaN	NaN	135.214374600000	'FixationCrossStart'
21	NaN	NaN	NaN	136.015078200000	'FixationCrossEnd'
21	'left'	1	1.00181290000000	138.032731700000	'21.Rx.jpg_Answer'
22	NaN	NaN	NaN	138.048251700000	'FixationCrossStart'
22	NaN	NaN	NaN	138.848957300000	'FixationCrossEnd'
22	'left'	1	1.15193020000000	141.016393200000	'22.Rn.jpg_Answer'
23	NaN	NaN	NaN	141.032601100000	'FixationCrossStart'
23	NaN	NaN	NaN	141.833314600000	'FixationCrossEnd'
23	'right'	1	0.983993900000000	143.833346700000	'23.L3e.jpg_Answer'
