'Trial'	'Answer'	'Accuracy'	'reactionTime'	'Time'	'EventName'
NaN	NaN	NaN	NaN	0.000382200000000000	'TrainingStart'
NaN	NaN	NaN	NaN	0.00126100000000000	'InstructionsTrainingStart'
NaN	NaN	NaN	NaN	28.7514517000000	'InstructionsTrainingEnd'
1	NaN	NaN	NaN	28.7652987000000	'FixationCrossStart'
1	NaN	NaN	NaN	29.5665589000000	'FixationCrossEnd'
1	'right'	1	1.31563990000000	31.9076013000000	'1.L3a.jpg_Answer'
2	NaN	NaN	NaN	31.9314785000000	'FixationCrossStart'
2	NaN	NaN	NaN	32.7329334000000	'FixationCrossEnd'
2	'left'	0	0.704916300000000	34.4521524000000	'2.L7f.jpg_Answer'
3	NaN	NaN	NaN	34.4737079000000	'FixationCrossStart'
3	NaN	NaN	NaN	35.2746048000000	'FixationCrossEnd'
3	'left'	1	0.678284800000000	36.9664710000000	'3.Ru.jpg_Answer'
4	NaN	NaN	NaN	36.9825051000000	'FixationCrossStart'
4	NaN	NaN	NaN	37.7839084000000	'FixationCrossEnd'
4	'right'	1	0.478442300000000	39.2743819000000	'4.L5j.jpg_Answer'
5	NaN	NaN	NaN	39.2962968000000	'FixationCrossStart'
5	NaN	NaN	NaN	40.1007376000000	'FixationCrossEnd'
5	'left'	1	0.744655900000000	41.8699850000000	'5.Rp.jpg_Answer'
6	NaN	NaN	NaN	41.8835210000000	'FixationCrossStart'
6	NaN	NaN	NaN	42.6897299000000	'FixationCrossEnd'
6	'right'	1	1.09514620000000	44.7971083000000	'6.L7g.jpg_Answer'
7	NaN	NaN	NaN	44.8180234000000	'FixationCrossStart'
7	NaN	NaN	NaN	45.6188472000000	'FixationCrossEnd'
7	'left'	1	0.687971200000000	47.3185205000000	'7.Rq.jpg_Answer'
8	NaN	NaN	NaN	47.3328643000000	'FixationCrossStart'
8	NaN	NaN	NaN	48.1338435000000	'FixationCrossEnd'
8	'left'	1	0.672939300000000	49.8243659000000	'8.Rr.jpg_Answer'
9	NaN	NaN	NaN	49.8437336000000	'FixationCrossStart'
9	NaN	NaN	NaN	50.6445053000000	'FixationCrossEnd'
9	'right'	1	0.411167600000000	52.0668845000000	'9.L5i.jpg_Answer'
