'Trial'	'Answer'	'Accuracy'	'reactionTime'	'Time'	'EventName'
NaN	NaN	NaN	NaN	4.54000000000000e-05	'TrainingStart'
NaN	NaN	NaN	NaN	0.000420000000000000	'InstructionsTrainingStart'
NaN	NaN	NaN	NaN	54.4883648000000	'InstructionsTrainingEnd'
1	NaN	NaN	NaN	54.5013262000000	'FixationCrossStart'
1	NaN	NaN	NaN	55.3023335000000	'FixationCrossEnd'
1	'NoPress'	-1	0	65.3166510000000	'1.L3a.jpg_Answer'
2	NaN	NaN	NaN	65.3291296000000	'FixationCrossStart'
2	NaN	NaN	NaN	66.1299865000000	'FixationCrossEnd'
2	'left'	0	6.79671030000000	73.9407377000000	'2.L7f.jpg_Answer'
3	NaN	NaN	NaN	73.9580594000000	'FixationCrossStart'
3	NaN	NaN	NaN	74.7591381000000	'FixationCrossEnd'
3	'left'	1	7.72070660000000	83.4925350000000	'3.Ru.jpg_Answer'
4	NaN	NaN	NaN	83.5175623000000	'FixationCrossStart'
4	NaN	NaN	NaN	84.3185216000000	'FixationCrossEnd'
4	'right'	1	2.21311850000000	87.5437116000000	'4.L5j.jpg_Answer'
5	NaN	NaN	NaN	87.5630290000000	'FixationCrossStart'
5	NaN	NaN	NaN	88.3668109000000	'FixationCrossEnd'
5	'left'	1	1.29634550000000	90.6867394000000	'5.Rp.jpg_Answer'
6	NaN	NaN	NaN	90.7064450000000	'FixationCrossStart'
6	NaN	NaN	NaN	91.5074298000000	'FixationCrossEnd'
6	'left'	0	2.26304610000000	94.7827699000000	'6.L7g.jpg_Answer'
7	NaN	NaN	NaN	94.8014039000000	'FixationCrossStart'
7	NaN	NaN	NaN	95.6022178000000	'FixationCrossEnd'
7	'right'	0	4.32142330000000	100.934483100000	'7.Rq.jpg_Answer'
8	NaN	NaN	NaN	100.942052100000	'FixationCrossStart'
8	NaN	NaN	NaN	101.742898400000	'FixationCrossEnd'
8	'left'	1	2.03946240000000	104.794199800000	'8.Rr.jpg_Answer'
9	NaN	NaN	NaN	104.802901500000	'FixationCrossStart'
9	NaN	NaN	NaN	105.603662000000	'FixationCrossEnd'
9	'left'	0	1.90072640000000	108.517670400000	'9.L5i.jpg_Answer'
10	NaN	NaN	NaN	108.530972700000	'FixationCrossStart'
10	NaN	NaN	NaN	109.331718700000	'FixationCrossEnd'
10	'left'	1	3.38298620000000	113.725657700000	'10.Rz.jpg_Answer'
11	NaN	NaN	NaN	113.739133300000	'FixationCrossStart'
11	NaN	NaN	NaN	114.540014800000	'FixationCrossEnd'
11	'right'	1	1.19336400000000	116.744435900000	'11.L7h.jpg_Answer'
12	NaN	NaN	NaN	116.752753100000	'FixationCrossStart'
12	NaN	NaN	NaN	117.553582400000	'FixationCrossEnd'
12	'left'	1	1.55586460000000	120.122202400000	'12.Rw.jpg_Answer'
13	NaN	NaN	NaN	120.143488500000	'FixationCrossStart'
13	NaN	NaN	NaN	120.944154600000	'FixationCrossEnd'
13	'right'	1	0.896749600000000	122.852133800000	'13.L3a.jpg_Answer'
14	NaN	NaN	NaN	122.873441500000	'FixationCrossStart'
14	NaN	NaN	NaN	123.674302500000	'FixationCrossEnd'
14	'right'	0	0.986232000000000	125.673289800000	'14.Ry.jpg_Answer'
15	NaN	NaN	NaN	125.687683500000	'FixationCrossStart'
15	NaN	NaN	NaN	126.488473600000	'FixationCrossEnd'
15	'right'	1	3.00392140000000	130.503084800000	'15.L3c.jpg_Answer'
16	NaN	NaN	NaN	130.513459000000	'FixationCrossStart'
16	NaN	NaN	NaN	131.314208200000	'FixationCrossEnd'
16	'left'	1	2.35236310000000	134.677207900000	'16.Rs.jpg_Answer'
17	NaN	NaN	NaN	134.690072200000	'FixationCrossStart'
17	NaN	NaN	NaN	135.490850900000	'FixationCrossEnd'
17	'right'	1	2.87310250000000	139.376085900000	'17.L7k.jpg_Answer'
18	NaN	NaN	NaN	139.383702900000	'FixationCrossStart'
18	NaN	NaN	NaN	140.184586200000	'FixationCrossEnd'
18	'left'	1	2.11768520000000	143.313107800000	'18.Rt.jpg_Answer'
19	NaN	NaN	NaN	143.326531300000	'FixationCrossStart'
19	NaN	NaN	NaN	144.127324700000	'FixationCrossEnd'
19	'left'	1	1.62143170000000	146.759103800000	'19.Rv.jpg_Answer'
20	NaN	NaN	NaN	146.771932600000	'FixationCrossStart'
20	NaN	NaN	NaN	147.572787000000	'FixationCrossEnd'
20	'right'	1	1.03732500000000	149.620740100000	'20.L3d.jpg_Answer'
21	NaN	NaN	NaN	149.634471300000	'FixationCrossStart'
21	NaN	NaN	NaN	150.435272200000	'FixationCrossEnd'
21	'left'	1	1.12186630000000	152.567444800000	'21.Rx.jpg_Answer'
22	NaN	NaN	NaN	152.579321400000	'FixationCrossStart'
22	NaN	NaN	NaN	153.380155500000	'FixationCrossEnd'
22	'left'	1	1.16741210000000	155.558347100000	'22.Rn.jpg_Answer'
23	NaN	NaN	NaN	155.573892400000	'FixationCrossStart'
23	NaN	NaN	NaN	156.374689300000	'FixationCrossEnd'
23	'right'	1	0.846966500000000	158.232089300000	'23.L3e.jpg_Answer'
24	NaN	NaN	NaN	158.251656900000	'FixationCrossStart'
24	NaN	NaN	NaN	159.052555600000	'FixationCrossEnd'
24	'left'	1	0.871819400000000	160.935886900000	'24.Rm.jpg_Answer'
25	NaN	NaN	NaN	160.949323200000	'FixationCrossStart'
25	NaN	NaN	NaN	161.750095900000	'FixationCrossEnd'
25	'left'	1	0.944397900000000	163.705080000000	'25.Rl.jpg_Answer'
26	NaN	NaN	NaN	163.713659000000	'FixationCrossStart'
26	NaN	NaN	NaN	164.514230600000	'FixationCrossEnd'
26	'left'	0	1.46712820000000	166.991282600000	'26.L5g.jpg_Answer'
27	NaN	NaN	NaN	167.006414300000	'FixationCrossStart'
27	NaN	NaN	NaN	167.807254100000	'FixationCrossEnd'
27	'right'	1	1.69164160000000	170.509648500000	'27.L7j.jpg_Answer'
28	NaN	NaN	NaN	170.533046400000	'FixationCrossStart'
28	NaN	NaN	NaN	171.333958200000	'FixationCrossEnd'
28	'left'	1	0.841878800000000	173.186059300000	'28.Ro.jpg_Answer'
29	NaN	NaN	NaN	173.197215900000	'FixationCrossStart'
