'Trial'	'Answer'	'Accuracy'	'reactionTime'	'Time'	'EventName'
NaN	NaN	NaN	NaN	0.000350100000000000	'TrainingStart'
NaN	NaN	NaN	NaN	0.00108620000000000	'InstructionsTrainingStart'
NaN	NaN	NaN	NaN	53.5591366000000	'InstructionsTrainingEnd'
1	NaN	NaN	NaN	53.5728540000000	'FixationCrossStart'
1	NaN	NaN	NaN	54.3736625000000	'FixationCrossEnd'
1	'NoPress'	-1	0	64.3877103000000	'1.L3a.jpg_Answer'
2	NaN	NaN	NaN	64.3992785000000	'FixationCrossStart'
2	NaN	NaN	NaN	65.2001181000000	'FixationCrossEnd'
2	'left'	0	1.63032230000000	67.8458441000000	'2.L7f.jpg_Answer'
3	NaN	NaN	NaN	67.8694132000000	'FixationCrossStart'
3	NaN	NaN	NaN	68.6705257000000	'FixationCrossEnd'
3	'left'	1	2.55320250000000	72.2369549000000	'3.Ru.jpg_Answer'
4	NaN	NaN	NaN	72.2632157000000	'FixationCrossStart'
4	NaN	NaN	NaN	73.0641752000000	'FixationCrossEnd'
4	'left'	0	2.54347530000000	76.6195551000000	'4.L5j.jpg_Answer'
5	NaN	NaN	NaN	76.6400034000000	'FixationCrossStart'
5	NaN	NaN	NaN	77.4434754000000	'FixationCrossEnd'
5	'left'	1	2.13696570000000	80.6028388000000	'5.Rp.jpg_Answer'
6	NaN	NaN	NaN	80.6153776000000	'FixationCrossStart'
6	NaN	NaN	NaN	81.4219472000000	'FixationCrossEnd'
6	'left'	0	1.70425710000000	84.1439048000000	'6.L7g.jpg_Answer'
7	NaN	NaN	NaN	84.1627006000000	'FixationCrossStart'
7	NaN	NaN	NaN	84.9636312000000	'FixationCrossEnd'
7	'left'	1	2.75232330000000	88.7267295000000	'7.Rq.jpg_Answer'
8	NaN	NaN	NaN	88.7382601000000	'FixationCrossStart'
8	NaN	NaN	NaN	89.5389178000000	'FixationCrossEnd'
8	'right'	0	1.63515820000000	92.1846960000000	'8.Rr.jpg_Answer'
9	NaN	NaN	NaN	92.1997258000000	'FixationCrossStart'
9	NaN	NaN	NaN	93.0005151000000	'FixationCrossEnd'
9	'right'	1	1.33601180000000	95.3471800000000	'9.L5i.jpg_Answer'
10	NaN	NaN	NaN	95.3613024000000	'FixationCrossStart'
10	NaN	NaN	NaN	96.1620819000000	'FixationCrossEnd'
10	'left'	1	2.66131250000000	99.8348808000000	'10.Rz.jpg_Answer'
11	NaN	NaN	NaN	99.8543061000000	'FixationCrossStart'
11	NaN	NaN	NaN	100.655082900000	'FixationCrossEnd'
11	'right'	1	1.43386160000000	103.100849700000	'11.L7h.jpg_Answer'
12	NaN	NaN	NaN	103.115946400000	'FixationCrossStart'
12	NaN	NaN	NaN	103.916873100000	'FixationCrossEnd'
12	'left'	1	1.81652110000000	106.745892500000	'12.Rw.jpg_Answer'
13	NaN	NaN	NaN	106.761437400000	'FixationCrossStart'
13	NaN	NaN	NaN	107.562280600000	'FixationCrossEnd'
13	'right'	1	1.58774620000000	110.160675800000	'13.L3a.jpg_Answer'
14	NaN	NaN	NaN	110.172384400000	'FixationCrossStart'
14	NaN	NaN	NaN	110.973244100000	'FixationCrossEnd'
14	'left'	1	2.50897570000000	114.493343700000	'14.Ry.jpg_Answer'
15	NaN	NaN	NaN	114.512839800000	'FixationCrossStart'
15	NaN	NaN	NaN	115.313378600000	'FixationCrossEnd'
15	'right'	1	0.895794500000000	117.221202500000	'15.L3c.jpg_Answer'
16	NaN	NaN	NaN	117.228374900000	'FixationCrossStart'
16	NaN	NaN	NaN	118.029292000000	'FixationCrossEnd'
16	'left'	1	0.926240300000000	119.965662200000	'16.Rs.jpg_Answer'
17	NaN	NaN	NaN	119.974601900000	'FixationCrossStart'
17	NaN	NaN	NaN	120.775407800000	'FixationCrossEnd'
17	'left'	0	1.33283480000000	123.118547500000	'17.L7k.jpg_Answer'
18	NaN	NaN	NaN	123.135738200000	'FixationCrossStart'
18	NaN	NaN	NaN	123.936674900000	'FixationCrossEnd'
18	'left'	1	1.34295000000000	126.289865000000	'18.Rt.jpg_Answer'
19	NaN	NaN	NaN	126.312756800000	'FixationCrossStart'
19	NaN	NaN	NaN	127.113672500000	'FixationCrossEnd'
19	'left'	1	1.23905780000000	129.362603700000	'19.Rv.jpg_Answer'
20	NaN	NaN	NaN	129.373859500000	'FixationCrossStart'
20	NaN	NaN	NaN	130.174335000000	'FixationCrossEnd'
20	'right'	1	0.847604400000000	132.033107200000	'20.L3d.jpg_Answer'
21	NaN	NaN	NaN	132.053972000000	'FixationCrossStart'
21	NaN	NaN	NaN	132.854824900000	'FixationCrossEnd'
21	'left'	1	0.919157700000000	134.784353700000	'21.Rx.jpg_Answer'
22	NaN	NaN	NaN	134.800764400000	'FixationCrossStart'
22	NaN	NaN	NaN	135.601571600000	'FixationCrossEnd'
22	'left'	1	1.51455530000000	138.126183000000	'22.Rn.jpg_Answer'
23	NaN	NaN	NaN	138.145327000000	'FixationCrossStart'
23	NaN	NaN	NaN	138.946181700000	'FixationCrossEnd'
23	'right'	1	0.885991900000000	140.843263200000	'23.L3e.jpg_Answer'
24	NaN	NaN	NaN	140.858072100000	'FixationCrossStart'
24	NaN	NaN	NaN	141.658896100000	'FixationCrossEnd'
24	'left'	1	0.929882200000000	143.599505900000	'24.Rm.jpg_Answer'
25	NaN	NaN	NaN	143.619139900000	'FixationCrossStart'
25	NaN	NaN	NaN	144.419974200000	'FixationCrossEnd'
25	'right'	0	1.21097940000000	146.642779800000	'25.Rl.jpg_Answer'
26	NaN	NaN	NaN	146.648408700000	'FixationCrossStart'
26	NaN	NaN	NaN	147.449093700000	'FixationCrossEnd'
26	'right'	1	1.41082670000000	149.870155100000	'26.L5g.jpg_Answer'
27	NaN	NaN	NaN	149.878518900000	'FixationCrossStart'
27	NaN	NaN	NaN	150.679443800000	'FixationCrossEnd'
27	'right'	1	1.05483170000000	152.745053900000	'27.L7j.jpg_Answer'
28	NaN	NaN	NaN	152.757061900000	'FixationCrossStart'
28	NaN	NaN	NaN	153.557903100000	'FixationCrossEnd'
28	'left'	1	1.12457700000000	155.691785500000	'28.Ro.jpg_Answer'
29	NaN	NaN	NaN	155.701239600000	'FixationCrossStart'
29	NaN	NaN	NaN	156.502031000000	'FixationCrossEnd'
29	'right'	1	1.76744260000000	159.279233000000	'29.L5k.jpg_Answer'
30	NaN	NaN	NaN	159.294290600000	'FixationCrossStart'
30	NaN	NaN	NaN	160.094951800000	'FixationCrossEnd'
30	'right'	1	1.51368120000000	162.618366800000	'30.L5h.jpg_Answer'
NaN	NaN	NaN	NaN	162.619444300000	'TrainingEnd'
NaN	NaN	NaN	NaN	162.643396600000	'TaskStart'
NaN	NaN	NaN	NaN	162.644032900000	'InstructionsTaskStart'
NaN	NaN	NaN	NaN	174.073024500000	'InstructionsTrainingEnd'
NaN	NaN	NaN	NaN	174.073503000000	'FirstBlockStart'
1	NaN	NaN	NaN	174.077927600000	'FixationCrossStart'
1	NaN	NaN	NaN	174.881676800000	'FixationCrossEnd'
1	'left'	1	1.51925430000000	176.407755400000	'1.Rag.jpg_Answer'
2	NaN	NaN	NaN	176.418114500000	'FixationCrossStart'
2	NaN	NaN	NaN	177.218686100000	'FixationCrossEnd'
2	'right'	1	1.16800970000000	178.392528000000	'2.L3i.jpg_Answer'
3	NaN	NaN	NaN	178.398924700000	'FixationCrossStart'
3	NaN	NaN	NaN	179.199711400000	'FixationCrossEnd'
3	'left'	1	1.09676170000000	180.303002000000	'3.Rc.jpg_Answer'
4	NaN	NaN	NaN	180.311735700000	'FixationCrossStart'
4	NaN	NaN	NaN	181.112559100000	'FixationCrossEnd'
4	'left'	1	1.04831030000000	182.168020300000	'4.Rb.jpg_Answer'
5	NaN	NaN	NaN	182.175913500000	'FixationCrossStart'
5	NaN	NaN	NaN	182.978290100000	'FixationCrossEnd'
5	'right'	1	0.791418600000000	183.782390300000	'5.L5a.jpg_Answer'
6	NaN	NaN	NaN	183.789594000000	'FixationCrossStart'
6	NaN	NaN	NaN	184.590370500000	'FixationCrossEnd'
6	'right'	1	0.877779700000000	185.475320600000	'6.L5b.jpg_Answer'
7	NaN	NaN	NaN	185.487048000000	'FixationCrossStart'
7	NaN	NaN	NaN	186.287688400000	'FixationCrossEnd'
7	'left'	1	1.59576400000000	187.889955900000	'7.Rañ.jpg_Answer'
8	NaN	NaN	NaN	187.900473800000	'FixationCrossStart'
8	NaN	NaN	NaN	188.701173700000	'FixationCrossEnd'
8	'right'	0	1.52013680000000	190.228044900000	'8.Rd.jpg_Answer'
9	NaN	NaN	NaN	190.246338800000	'FixationCrossStart'
9	NaN	NaN	NaN	191.047155800000	'FixationCrossEnd'
9	'right'	1	1.39017140000000	192.444386600000	'9.L3g.jpg_Answer'
10	NaN	NaN	NaN	192.459733300000	'FixationCrossStart'
10	NaN	NaN	NaN	193.260214400000	'FixationCrossEnd'
10	'left'	1	1.43698020000000	194.703916800000	'10.Ri.jpg_Answer'
11	NaN	NaN	NaN	194.721669000000	'FixationCrossStart'
11	NaN	NaN	NaN	195.522360300000	'FixationCrossEnd'
11	'right'	1	1.11120280000000	196.640191700000	'11.L3h.jpg_Answer'
12	NaN	NaN	NaN	196.653323300000	'FixationCrossStart'
12	NaN	NaN	NaN	197.453998500000	'FixationCrossEnd'
12	'right'	1	1.14853190000000	198.609569200000	'12.L7a.jpg_Answer'
13	NaN	NaN	NaN	198.616790300000	'FixationCrossStart'
13	NaN	NaN	NaN	199.417541200000	'FixationCrossEnd'
13	'left'	1	1.00174960000000	200.426055900000	'13.Rj.jpg_Answer'
14	NaN	NaN	NaN	200.431067900000	'FixationCrossStart'
14	NaN	NaN	NaN	201.231761100000	'FixationCrossEnd'
14	'right'	1	0.969331200000000	202.207358700000	'14.L5e.jpg_Answer'
15	NaN	NaN	NaN	202.226691100000	'FixationCrossStart'
15	NaN	NaN	NaN	203.027331100000	'FixationCrossEnd'
15	'left'	1	1.08155490000000	204.115285000000	'15.Ral.jpg_Answer'
16	NaN	NaN	NaN	204.124787700000	'FixationCrossStart'
16	NaN	NaN	NaN	204.925488600000	'FixationCrossEnd'
16	'left'	1	1.08222580000000	206.014015700000	'16.Rab.jpg_Answer'
17	NaN	NaN	NaN	206.022023300000	'FixationCrossStart'
17	NaN	NaN	NaN	206.822832600000	'FixationCrossEnd'
17	'right'	0	1.42666660000000	208.256145900000	'17.Ran.jpg_Answer'
18	NaN	NaN	NaN	208.268482900000	'FixationCrossStart'
18	NaN	NaN	NaN	209.068928000000	'FixationCrossEnd'
18	'right'	1	1.40816970000000	210.482862200000	'18.L2f.jpg_Answer'
19	NaN	NaN	NaN	210.498565200000	'FixationCrossStart'
19	NaN	NaN	NaN	211.299235300000	'FixationCrossEnd'
19	'left'	1	0.853024400000000	212.158838500000	'19.Raa.jpg_Answer'
20	NaN	NaN	NaN	212.178148100000	'FixationCrossStart'
20	NaN	NaN	NaN	212.978808900000	'FixationCrossEnd'
20	'right'	1	1.12108220000000	214.106151400000	'20.L3j.jpg_Answer'
21	NaN	NaN	NaN	214.124911900000	'FixationCrossStart'
21	NaN	NaN	NaN	214.925593000000	'FixationCrossEnd'
21	'right'	1	1.34012350000000	216.272245300000	'21.L3j.jpg_Answer'
22	NaN	NaN	NaN	216.289513800000	'FixationCrossStart'
22	NaN	NaN	NaN	217.090183600000	'FixationCrossEnd'
22	'left'	1	1.06435670000000	218.160888500000	'22.Ra.jpg_Answer'
23	NaN	NaN	NaN	218.170060000000	'FixationCrossStart'
23	NaN	NaN	NaN	218.970779500000	'FixationCrossEnd'
23	'right'	1	1.30196240000000	220.279159400000	'23.L3f.jpg_Answer'
24	NaN	NaN	NaN	220.298593100000	'FixationCrossStart'
24	NaN	NaN	NaN	221.099349100000	'FixationCrossEnd'
24	'left'	1	1.17478710000000	222.281465700000	'24.Rac.jpg_Answer'
25	NaN	NaN	NaN	222.296880900000	'FixationCrossStart'
25	NaN	NaN	NaN	223.097557900000	'FixationCrossEnd'
25	'right'	1	1.32590840000000	224.430045400000	'25.L7b.jpg_Answer'
26	NaN	NaN	NaN	224.443745900000	'FixationCrossStart'
26	NaN	NaN	NaN	225.244243000000	'FixationCrossEnd'
26	'left'	1	1.23582770000000	226.485742700000	'26.Rad.jpg_Answer'
27	NaN	NaN	NaN	226.491196700000	'FixationCrossStart'
27	NaN	NaN	NaN	227.292059300000	'FixationCrossEnd'
27	'right'	1	1.06246350000000	228.361227300000	'27.L4d.jpg_Answer'
28	NaN	NaN	NaN	228.370639800000	'FixationCrossStart'
28	NaN	NaN	NaN	229.171343100000	'FixationCrossEnd'
28	'left'	1	0.989371600000000	230.166850400000	'28.Rai.jpg_Answer'
29	NaN	NaN	NaN	230.184514400000	'FixationCrossStart'
29	NaN	NaN	NaN	230.985195600000	'FixationCrossEnd'
29	'left'	1	1.03520200000000	232.026689700000	'29.Raj.jpg_Answer'
30	NaN	NaN	NaN	232.032115100000	'FixationCrossStart'
30	NaN	NaN	NaN	232.832855000000	'FixationCrossEnd'
30	'left'	1	1.25265960000000	234.091874600000	'30.Rah.jpg_Answer'
31	NaN	NaN	NaN	234.110904800000	'FixationCrossStart'
31	NaN	NaN	NaN	234.911418900000	'FixationCrossEnd'
31	'right'	1	1.28277300000000	236.199883300000	'31.L0a.jpg_Answer'
32	NaN	NaN	NaN	236.208863800000	'FixationCrossStart'
32	NaN	NaN	NaN	237.009607400000	'FixationCrossEnd'
32	'right'	1	1.01209900000000	238.028161200000	'32.L4a.jpg_Answer'
