'Trial'	'Answer'	'Accuracy'	'reactionTime'	'Time'	'EventName'
NaN	NaN	NaN	NaN	0.000593900000000000	'TrainingStart'
NaN	NaN	NaN	NaN	0.00148810000000000	'InstructionsTrainingStart'
NaN	NaN	NaN	NaN	55.4751134000000	'InstructionsTrainingEnd'
1	NaN	NaN	NaN	55.4962749000000	'FixationCrossStart'
1	NaN	NaN	NaN	56.2973209000000	'FixationCrossEnd'
1	'right'	1	7.73652140000000	65.0989972000000	'1.L3a.jpg_Answer'
2	NaN	NaN	NaN	65.1150386000000	'FixationCrossStart'
2	NaN	NaN	NaN	65.9162020000000	'FixationCrossEnd'
2	'left'	0	4.05348140000000	71.0058789000000	'2.L7f.jpg_Answer'
3	NaN	NaN	NaN	71.0224133000000	'FixationCrossStart'
3	NaN	NaN	NaN	71.8228948000000	'FixationCrossEnd'
3	'right'	0	6.99122640000000	79.8601678000000	'3.Ru.jpg_Answer'
4	NaN	NaN	NaN	79.8760881000000	'FixationCrossStart'
4	NaN	NaN	NaN	80.6772859000000	'FixationCrossEnd'
4	'right'	1	3.52634750000000	85.2510139000000	'4.L5j.jpg_Answer'
5	NaN	NaN	NaN	85.2674177000000	'FixationCrossStart'
5	NaN	NaN	NaN	86.0697631000000	'FixationCrossEnd'
5	'left'	1	5.60413120000000	92.7244938000000	'5.Rp.jpg_Answer'
6	NaN	NaN	NaN	92.7390821000000	'FixationCrossStart'
6	NaN	NaN	NaN	93.5883479000000	'FixationCrossEnd'
6	'right'	1	4.99933480000000	99.6291438000000	'6.L7g.jpg_Answer'
7	NaN	NaN	NaN	99.6454098000000	'FixationCrossStart'
7	NaN	NaN	NaN	100.446249200000	'FixationCrossEnd'
7	'right'	0	4.30255060000000	105.801966400000	'7.Rq.jpg_Answer'
8	NaN	NaN	NaN	105.818613400000	'FixationCrossStart'
8	NaN	NaN	NaN	106.619148500000	'FixationCrossEnd'
8	'right'	0	4.79740300000000	112.458914700000	'8.Rr.jpg_Answer'
9	NaN	NaN	NaN	112.475576100000	'FixationCrossStart'
9	NaN	NaN	NaN	113.276422000000	'FixationCrossEnd'
9	'right'	1	0.896892500000000	115.220850200000	'9.L5i.jpg_Answer'
10	NaN	NaN	NaN	115.237337100000	'FixationCrossStart'
