'Trial'	'Answer'	'Accuracy'	'reactionTime'	'Time'	'EventName'
NaN	NaN	NaN	NaN	0.000330700000000000	'TrainingStart'
NaN	NaN	NaN	NaN	0.00131760000000000	'InstructionsTrainingStart'
NaN	NaN	NaN	NaN	69.8842984000000	'InstructionsTrainingEnd'
1	NaN	NaN	NaN	69.8976264000000	'FixationCrossStart'
1	NaN	NaN	NaN	70.6987181000000	'FixationCrossEnd'
1	'right'	1	2.35004250000000	74.0720654000000	'1.L3a.jpg_Answer'
2	NaN	NaN	NaN	74.0886531000000	'FixationCrossStart'
2	NaN	NaN	NaN	74.8906475000000	'FixationCrossEnd'
2	'right'	1	1.42826540000000	77.3311478000000	'2.L7f.jpg_Answer'
3	NaN	NaN	NaN	77.3518449000000	'FixationCrossStart'
3	NaN	NaN	NaN	78.1529018000000	'FixationCrossEnd'
3	'left'	1	0.907360600000000	80.0731206000000	'3.Ru.jpg_Answer'
4	NaN	NaN	NaN	80.0874204000000	'FixationCrossStart'
4	NaN	NaN	NaN	80.8886168000000	'FixationCrossEnd'
4	'right'	1	0.557635200000000	82.4596359000000	'4.L5j.jpg_Answer'
5	NaN	NaN	NaN	82.4817905000000	'FixationCrossStart'
5	NaN	NaN	NaN	83.2850686000000	'FixationCrossEnd'
5	'left'	1	0.868439500000000	85.1777726000000	'5.Rp.jpg_Answer'
6	NaN	NaN	NaN	85.1898975000000	'FixationCrossStart'
6	NaN	NaN	NaN	85.9907301000000	'FixationCrossEnd'
6	'right'	1	0.968570600000000	87.9711922000000	'6.L7g.jpg_Answer'
7	NaN	NaN	NaN	87.9901251000000	'FixationCrossStart'
7	NaN	NaN	NaN	88.7909332000000	'FixationCrossEnd'
7	'left'	1	0.944272700000000	90.7459340000000	'7.Rq.jpg_Answer'
8	NaN	NaN	NaN	90.7688305000000	'FixationCrossStart'
8	NaN	NaN	NaN	91.5696504000000	'FixationCrossEnd'
8	'right'	0	1.30515480000000	93.8917625000000	'8.Rr.jpg_Answer'
9	NaN	NaN	NaN	93.9142486000000	'FixationCrossStart'
9	NaN	NaN	NaN	94.7150195000000	'FixationCrossEnd'
9	'right'	1	0.965607700000000	96.6925826000000	'9.L5i.jpg_Answer'
10	NaN	NaN	NaN	96.7112412000000	'FixationCrossStart'
10	NaN	NaN	NaN	97.5122298000000	'FixationCrossEnd'
10	'left'	1	1.95362790000000	100.476997000000	'10.Rz.jpg_Answer'
11	NaN	NaN	NaN	100.488875600000	'FixationCrossStart'
11	NaN	NaN	NaN	101.289690500000	'FixationCrossEnd'
11	'right'	1	0.566346300000000	102.867881000000	'11.L7h.jpg_Answer'
12	NaN	NaN	NaN	102.889788800000	'FixationCrossStart'
12	NaN	NaN	NaN	103.690508700000	'FixationCrossEnd'
12	'left'	1	1.15158660000000	105.854315300000	'12.Rw.jpg_Answer'
13	NaN	NaN	NaN	105.863225400000	'FixationCrossStart'
13	NaN	NaN	NaN	106.663930400000	'FixationCrossEnd'
13	'right'	1	2.05174390000000	109.726173000000	'13.L3a.jpg_Answer'
14	NaN	NaN	NaN	109.741220000000	'FixationCrossStart'
14	NaN	NaN	NaN	110.542101600000	'FixationCrossEnd'
14	'right'	0	0.615737300000000	112.168630300000	'14.Ry.jpg_Answer'
15	NaN	NaN	NaN	112.187578200000	'FixationCrossStart'
15	NaN	NaN	NaN	112.988380400000	'FixationCrossEnd'
15	'right'	1	1.65599440000000	115.654290800000	'15.L3c.jpg_Answer'
16	NaN	NaN	NaN	115.666155400000	'FixationCrossStart'
16	NaN	NaN	NaN	116.466978800000	'FixationCrossEnd'
16	'left'	1	2.35528150000000	119.832905400000	'16.Rs.jpg_Answer'
17	NaN	NaN	NaN	119.842496900000	'FixationCrossStart'
17	NaN	NaN	NaN	120.643429600000	'FixationCrossEnd'
17	'right'	1	2.89961890000000	124.553450200000	'17.L7k.jpg_Answer'
18	NaN	NaN	NaN	124.567839900000	'FixationCrossStart'
18	NaN	NaN	NaN	125.368528500000	'FixationCrossEnd'
18	'right'	0	4.16294200000000	130.541949800000	'18.Rt.jpg_Answer'
19	NaN	NaN	NaN	130.558857400000	'FixationCrossStart'
19	NaN	NaN	NaN	131.359695900000	'FixationCrossEnd'
19	'left'	1	1.24992030000000	133.620183800000	'19.Rv.jpg_Answer'
20	NaN	NaN	NaN	133.638218000000	'FixationCrossStart'
20	NaN	NaN	NaN	134.439073600000	'FixationCrossEnd'
20	'right'	1	0.798993800000000	136.249499300000	'20.L3d.jpg_Answer'
21	NaN	NaN	NaN	136.267830800000	'FixationCrossStart'
21	NaN	NaN	NaN	137.068704900000	'FixationCrossEnd'
21	'left'	1	1.15397450000000	139.232814000000	'21.Rx.jpg_Answer'
22	NaN	NaN	NaN	139.245399500000	'FixationCrossStart'
22	NaN	NaN	NaN	140.046234800000	'FixationCrossEnd'
22	'left'	1	1.02403310000000	142.080436900000	'22.Rn.jpg_Answer'
23	NaN	NaN	NaN	142.090752800000	'FixationCrossStart'
23	NaN	NaN	NaN	142.891557200000	'FixationCrossEnd'
23	'right'	1	0.554124000000000	144.456333900000	'23.L3e.jpg_Answer'
24	NaN	NaN	NaN	144.470674500000	'FixationCrossStart'
24	NaN	NaN	NaN	145.271525200000	'FixationCrossEnd'
24	'left'	1	1.11588730000000	147.398040500000	'24.Rm.jpg_Answer'
25	NaN	NaN	NaN	147.415621100000	'FixationCrossStart'
25	NaN	NaN	NaN	148.216513800000	'FixationCrossEnd'
25	'left'	1	1.04568630000000	150.272550100000	'25.Rl.jpg_Answer'
26	NaN	NaN	NaN	150.293570300000	'FixationCrossStart'
26	NaN	NaN	NaN	151.094369200000	'FixationCrossEnd'
26	'right'	1	0.623396600000000	152.727129800000	'26.L5g.jpg_Answer'
27	NaN	NaN	NaN	152.739653300000	'FixationCrossStart'
27	NaN	NaN	NaN	153.540397600000	'FixationCrossEnd'
27	'right'	1	0.699697800000000	155.251081200000	'27.L7j.jpg_Answer'
28	NaN	NaN	NaN	155.270993300000	'FixationCrossStart'
28	NaN	NaN	NaN	156.071859900000	'FixationCrossEnd'
28	'left'	1	3.13387550000000	160.216337400000	'28.Ro.jpg_Answer'
29	NaN	NaN	NaN	160.230024900000	'FixationCrossStart'
29	NaN	NaN	NaN	161.031000300000	'FixationCrossEnd'
29	'right'	1	1.09728770000000	163.138548000000	'29.L5k.jpg_Answer'
30	NaN	NaN	NaN	163.157727200000	'FixationCrossStart'
30	NaN	NaN	NaN	163.958533200000	'FixationCrossEnd'
30	'right'	1	0.628149700000000	165.596389700000	'30.L5h.jpg_Answer'
NaN	NaN	NaN	NaN	165.597348300000	'TrainingEnd'
NaN	NaN	NaN	NaN	165.629923200000	'TaskStart'
NaN	NaN	NaN	NaN	165.630381100000	'InstructionsTaskStart'
NaN	NaN	NaN	NaN	173.908946200000	'InstructionsTrainingEnd'
NaN	NaN	NaN	NaN	173.909256600000	'FirstBlockStart'
1	NaN	NaN	NaN	173.912868500000	'FixationCrossStart'
1	NaN	NaN	NaN	174.716745900000	'FixationCrossEnd'
1	'left'	1	0.881031300000000	175.605775300000	'1.Rag.jpg_Answer'
2	NaN	NaN	NaN	175.620616400000	'FixationCrossStart'
2	NaN	NaN	NaN	176.421405300000	'FixationCrossEnd'
2	'right'	1	0.937558200000000	177.366328900000	'2.L3i.jpg_Answer'
3	NaN	NaN	NaN	177.385053200000	'FixationCrossStart'
3	NaN	NaN	NaN	178.185948400000	'FixationCrossEnd'
3	'left'	1	0.741675000000000	178.935928900000	'3.Rc.jpg_Answer'
4	NaN	NaN	NaN	178.948859400000	'FixationCrossStart'
4	NaN	NaN	NaN	179.749662500000	'FixationCrossEnd'
4	'left'	1	1.57307870000000	181.330126500000	'4.Rb.jpg_Answer'
5	NaN	NaN	NaN	181.345796400000	'FixationCrossStart'
5	NaN	NaN	NaN	182.147958200000	'FixationCrossEnd'
5	'right'	1	0.806152500000000	182.967164000000	'5.L5a.jpg_Answer'
6	NaN	NaN	NaN	182.975779300000	'FixationCrossStart'
6	NaN	NaN	NaN	183.776650500000	'FixationCrossEnd'
6	'right'	1	0.519295700000000	184.303733000000	'6.L5b.jpg_Answer'
7	NaN	NaN	NaN	184.323045700000	'FixationCrossStart'
7	NaN	NaN	NaN	185.123783900000	'FixationCrossEnd'
7	'left'	1	0.897394400000000	186.027769900000	'7.Rañ.jpg_Answer'
8	NaN	NaN	NaN	186.037738400000	'FixationCrossStart'
8	NaN	NaN	NaN	186.838547100000	'FixationCrossEnd'
8	'right'	0	0.835959800000000	187.681480100000	'8.Rd.jpg_Answer'
9	NaN	NaN	NaN	187.701614500000	'FixationCrossStart'
9	NaN	NaN	NaN	188.502261700000	'FixationCrossEnd'
9	'right'	1	0.439372700000000	188.948611900000	'9.L3g.jpg_Answer'
10	NaN	NaN	NaN	188.966528300000	'FixationCrossStart'
10	NaN	NaN	NaN	189.767180300000	'FixationCrossEnd'
10	'right'	0	1.25548910000000	191.029200400000	'10.Ri.jpg_Answer'
11	NaN	NaN	NaN	191.047240300000	'FixationCrossStart'
11	NaN	NaN	NaN	191.847905900000	'FixationCrossEnd'
11	'right'	1	0.767231600000000	192.621617300000	'11.L3h.jpg_Answer'
12	NaN	NaN	NaN	192.627822800000	'FixationCrossStart'
12	NaN	NaN	NaN	193.428532200000	'FixationCrossEnd'
12	'right'	1	0.676994700000000	194.112648900000	'12.L7a.jpg_Answer'
13	NaN	NaN	NaN	194.125963300000	'FixationCrossStart'
13	NaN	NaN	NaN	194.926663300000	'FixationCrossEnd'
13	'left'	1	0.770872600000000	195.704485100000	'13.Rj.jpg_Answer'
14	NaN	NaN	NaN	195.722706500000	'FixationCrossStart'
14	NaN	NaN	NaN	196.523385700000	'FixationCrossEnd'
14	'right'	1	0.661556300000000	197.191394200000	'14.L5e.jpg_Answer'
15	NaN	NaN	NaN	197.204466700000	'FixationCrossStart'
15	NaN	NaN	NaN	198.005144900000	'FixationCrossEnd'
15	'left'	1	0.747945800000000	198.759384100000	'15.Ral.jpg_Answer'
16	NaN	NaN	NaN	198.767942200000	'FixationCrossStart'
16	NaN	NaN	NaN	199.568663700000	'FixationCrossEnd'
16	'left'	1	1.42226810000000	200.997391400000	'16.Rab.jpg_Answer'
17	NaN	NaN	NaN	201.015068500000	'FixationCrossStart'
17	NaN	NaN	NaN	201.815715600000	'FixationCrossEnd'
17	'right'	0	3.67656060000000	205.498918900000	'17.Ran.jpg_Answer'
18	NaN	NaN	NaN	205.507718400000	'FixationCrossStart'
