'Trial'	'Answer'	'Accuracy'	'reactionTime'	'Time'	'EventName'
NaN	NaN	NaN	NaN	0.000105900000000000	'TrainingStart'
NaN	NaN	NaN	NaN	0.000276200000000000	'InstructionsTrainingStart'
NaN	NaN	NaN	NaN	98.6306467000000	'InstructionsTrainingEnd'
1	NaN	NaN	NaN	98.6558104000000	'FixationCrossStart'
1	NaN	NaN	NaN	99.4565213000000	'FixationCrossEnd'
1	'right'	1	3.55065320000000	104.063012900000	'1.L3a.jpg_Answer'
2	NaN	NaN	NaN	104.095651500000	'FixationCrossStart'
2	NaN	NaN	NaN	104.896426100000	'FixationCrossEnd'
2	'NoPress'	-1	0	114.924920700000	'2.L7f.jpg_Answer'
3	NaN	NaN	NaN	114.941313100000	'FixationCrossStart'
3	NaN	NaN	NaN	115.741987300000	'FixationCrossEnd'
3	'left'	1	0.919454200000000	117.712008700000	'3.Ru.jpg_Answer'
4	NaN	NaN	NaN	117.728388400000	'FixationCrossStart'
4	NaN	NaN	NaN	118.529298800000	'FixationCrossEnd'
4	'right'	1	4.08531680000000	123.668882800000	'4.L5j.jpg_Answer'
5	NaN	NaN	NaN	123.685993900000	'FixationCrossStart'
5	NaN	NaN	NaN	124.489449500000	'FixationCrossEnd'
5	'right'	0	2.94340360000000	128.476710300000	'5.Rp.jpg_Answer'
6	NaN	NaN	NaN	128.490588600000	'FixationCrossStart'
6	NaN	NaN	NaN	129.291377900000	'FixationCrossEnd'
6	'left'	0	2.56340120000000	132.895882900000	'6.L7g.jpg_Answer'
7	NaN	NaN	NaN	132.912329500000	'FixationCrossStart'
7	NaN	NaN	NaN	133.712855900000	'FixationCrossEnd'
7	'right'	0	3.05304750000000	137.818285500000	'7.Rq.jpg_Answer'
8	NaN	NaN	NaN	137.834710400000	'FixationCrossStart'
8	NaN	NaN	NaN	138.635424000000	'FixationCrossEnd'
8	'left'	1	5.91463200000000	145.593692100000	'8.Rr.jpg_Answer'
9	NaN	NaN	NaN	145.610143000000	'FixationCrossStart'
9	NaN	NaN	NaN	146.410738300000	'FixationCrossEnd'
9	'right'	1	1.18687650000000	148.647320700000	'9.L5i.jpg_Answer'
10	NaN	NaN	NaN	148.663553800000	'FixationCrossStart'
10	NaN	NaN	NaN	149.464146100000	'FixationCrossEnd'
10	'right'	0	2.98104370000000	153.486225900000	'10.Rz.jpg_Answer'
11	NaN	NaN	NaN	153.502760400000	'FixationCrossStart'
11	NaN	NaN	NaN	154.303457200000	'FixationCrossEnd'
11	'right'	1	0.840244400000000	156.189374200000	'11.L7h.jpg_Answer'
12	NaN	NaN	NaN	156.205910100000	'FixationCrossStart'
12	NaN	NaN	NaN	157.006697100000	'FixationCrossEnd'
12	'left'	1	1.18304020000000	159.242878100000	'12.Rw.jpg_Answer'
13	NaN	NaN	NaN	159.259441500000	'FixationCrossStart'
13	NaN	NaN	NaN	160.060182500000	'FixationCrossEnd'
13	'right'	1	1.35335250000000	162.463224800000	'13.L3a.jpg_Answer'
